Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,219000.000000,240000.000000,194000.000000,223500.000000,222097.484375,8057099
2019-02-01,224000.000000,251000.000000,224000.000000,237500.000000,236009.640625,6325057
2019-03-01,237500.000000,241500.000000,204000.000000,214500.000000,213153.953125,9295766
2019-04-01,218000.000000,237000.000000,215500.000000,236500.000000,235015.906250,5443207
2019-05-01,236500.000000,239500.000000,201500.000000,218500.000000,217128.859375,6195467
2019-06-01,217000.000000,239500.000000,216500.000000,236500.000000,235015.906250,4522626
2019-07-01,239500.000000,249500.000000,225500.000000,249000.000000,247437.468750,4420450
2019-08-01,247500.000000,256000.000000,232000.000000,249500.000000,247934.328125,4725656
2019-09-01,232500.000000,248500.000000,216500.000000,223000.000000,221600.609375,4967476
2019-10-01,221000.000000,233500.000000,218000.000000,227500.000000,226072.375000,4701609
2019-11-01,229500.000000,243000.000000,227500.000000,231000.000000,229550.421875,3823877
2019-12-01,233000.000000,238000.000000,220000.000000,236000.000000,234519.046875,4639136
2020-01-01,236000.000000,296500.000000,226000.000000,276000.000000,275506.250000,8081124
2020-02-01,271500.000000,351000.000000,268000.000000,295000.000000,294472.281250,12487211
2020-03-01,296500.000000,324500.000000,180000.000000,240500.000000,240069.765625,20793829
2020-04-01,240000.000000,305000.000000,222000.000000,286000.000000,285488.375000,16283734
2020-05-01,286000.000000,393500.000000,275500.000000,359000.000000,358357.781250,14652159
2020-06-01,361000.000000,399000.000000,348500.000000,363500.000000,362849.718750,15644002
2020-07-01,370000.000000,403500.000000,364000.000000,397500.000000,396788.906250,11234188
2020-08-01,398000.000000,509000.000000,394000.000000,452500.000000,451690.531250,15288926
2020-09-01,453000.000000,463000.000000,406000.000000,433500.000000,432724.500000,8024976
2020-10-01,433500.000000,454000.000000,406500.000000,442000.000000,441209.312500,6046931
2020-11-01,447500.000000,563000.000000,427000.000000,533000.000000,532046.500000,12128551
2020-12-01,543000.000000,630000.000000,535000.000000,628000.000000,626876.562500,7769057
2021-01-01,628000.000000,816000.000000,628000.000000,734000.000000,734000.000000,12902960
2021-02-01,730000.000000,818000.000000,668000.000000,674000.000000,674000.000000,7180771
2021-03-01,674000.000000,710000.000000,613000.000000,660000.000000,660000.000000,9507485
2021-04-01,670000.000000,712000.000000,639000.000000,654000.000000,654000.000000,7048152
2021-05-01,655000.000000,658000.000000,600000.000000,615000.000000,615000.000000,5584793
2021-06-01,609000.000000,700000.000000,606000.000000,698000.000000,698000.000000,6186911
2021-07-01,702000.000000,770000.000000,701000.000000,741000.000000,741000.000000,6271734
2021-08-01,744000.000000,828000.000000,727000.000000,793000.000000,793000.000000,6292781
2021-09-01,793000.000000,795000.000000,695000.000000,718000.000000,718000.000000,5016519
