Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,171000.000000,175000.000000,165500.000000,169000.000000,152256.812500,4871705
2017-06-01,168000.000000,168500.000000,154000.000000,158500.000000,142797.062500,7556290
2017-07-01,159500.000000,179000.000000,155500.000000,176500.000000,160640.500000,6279825
2017-08-01,178000.000000,197500.000000,167500.000000,188500.000000,171562.234375,6110789
2017-09-01,192000.000000,199500.000000,181000.000000,199000.000000,181118.750000,5134223
2017-10-01,199000.000000,215000.000000,198500.000000,205000.000000,186579.625000,3861940
2017-11-01,203000.000000,218000.000000,192500.000000,206500.000000,187944.843750,5384176
2017-12-01,206000.000000,209500.000000,195500.000000,204500.000000,186124.546875,3761131
2018-01-01,204500.000000,214000.000000,191500.000000,204500.000000,192047.953125,5740630
2018-02-01,203000.000000,211000.000000,181000.000000,205500.000000,192987.078125,4646585
2018-03-01,205500.000000,217000.000000,198000.000000,211000.000000,198152.171875,4341123
2018-04-01,213000.000000,219000.000000,187500.000000,196500.000000,184535.093750,4411340
2018-05-01,196500.000000,209500.000000,196500.000000,206000.000000,193456.625000,5707051
2018-06-01,205000.000000,217500.000000,197500.000000,202000.000000,189700.187500,4452956
2018-07-01,201000.000000,206500.000000,182500.000000,198500.000000,187897.921875,5320718
2018-08-01,198500.000000,205000.000000,186000.000000,193000.000000,182691.703125,4113854
2018-09-01,192500.000000,219500.000000,190000.000000,215000.000000,203516.656250,3589901
2018-10-01,220000.000000,227000.000000,202000.000000,213500.000000,202096.765625,5100654
2018-11-01,211500.000000,211500.000000,190500.000000,196500.000000,186004.765625,4895958
2018-12-01,198500.000000,204500.000000,172000.000000,179500.000000,169912.734375,4991736
2019-01-01,179500.000000,190000.000000,166000.000000,188500.000000,184935.265625,5249686
2019-02-01,188500.000000,193000.000000,180000.000000,188000.000000,184444.718750,4029066
2019-03-01,188000.000000,198000.000000,177000.000000,179500.000000,176105.468750,4521310
2019-04-01,180500.000000,195500.000000,180000.000000,182500.000000,179048.718750,4659271
2019-05-01,182500.000000,185000.000000,160500.000000,165000.000000,161879.671875,6002074
2019-06-01,163000.000000,166000.000000,157000.000000,159000.000000,155993.140625,3502792
2019-07-01,160500.000000,178500.000000,159500.000000,171000.000000,169455.484375,5264575
2019-08-01,168000.000000,172500.000000,151000.000000,165000.000000,163509.671875,4341044
2019-09-01,163500.000000,178000.000000,160000.000000,166000.000000,164500.640625,3414956
2019-10-01,165000.000000,171500.000000,158500.000000,160000.000000,158554.843750,3752810
2019-11-01,160000.000000,163000.000000,146000.000000,146500.000000,145176.781250,4545923
2019-12-01,148000.000000,155500.000000,141000.000000,150000.000000,148645.156250,5598078
2020-01-01,150000.000000,153000.000000,122000.000000,130000.000000,130000.000000,9560203
2020-02-01,128500.000000,142000.000000,112000.000000,113000.000000,113000.000000,13464025
2020-03-01,112000.000000,118500.000000,55100.000000,87000.000000,87000.000000,26356739
2020-04-01,85100.000000,102500.000000,81400.000000,98300.000000,98300.000000,19795895
2020-05-01,98300.000000,129000.000000,93000.000000,118500.000000,118500.000000,17847837
2020-06-01,123500.000000,138500.000000,106500.000000,131000.000000,131000.000000,21121685
2020-07-01,134500.000000,138500.000000,120000.000000,127000.000000,127000.000000,15023878
2020-08-01,128000.000000,197500.000000,126000.000000,145000.000000,145000.000000,40758591
2020-09-01,145500.000000,164500.000000,133500.000000,139000.000000,139000.000000,17875742
2020-10-01,139000.000000,150000.000000,125000.000000,125500.000000,125500.000000,6803213
2020-11-01,125000.000000,184500.000000,119500.000000,173000.000000,173000.000000,23021485
2020-12-01,176000.000000,196500.000000,174500.000000,190000.000000,190000.000000,19971193
2021-01-01,190000.000000,318500.000000,190000.000000,280000.000000,280000.000000,45271392
2021-02-01,287500.000000,327500.000000,255500.000000,260500.000000,260500.000000,32557042
2021-03-01,260500.000000,276500.000000,198000.000000,219000.000000,219000.000000,22482492
2021-04-01,227500.000000,284000.000000,222500.000000,270500.000000,270500.000000,25565882
2021-05-01,271000.000000,291000.000000,252000.000000,265000.000000,265000.000000,18919409
2021-06-01,264000.000000,302000.000000,262000.000000,295500.000000,295500.000000,16332029
2021-07-01,296500.000000,299000.000000,252000.000000,253000.000000,253000.000000,17571715
2021-08-01,253000.000000,256500.000000,225500.000000,249500.000000,249500.000000,13696891
2021-09-01,249500.000000,269500.000000,232000.000000,265000.000000,265000.000000,10319256
